,AN,G,P,AM,EN,R,IE,MP,BP,D,SAN,SAM,SEN,SR,SIE,SMP,SBP,SD,H,CBM,VBM,ECOH,WF
Rh_CL,45,9,5,102.9055,2.28,1.73,7.459,2237,3968,12.4,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Pd_CL,46,10,5,106.42,2.2,1.69,8.337,1828.05,3236,12,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Ag_CL,47,11,5,107.868,1.93,1.65,7.576,1234.93,2435,10.501,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Cd_CL,48,12,5,112.41,1.69,1.61,8.994,594.22,1040,8.69,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Lu_CL,71,3,6,174.9668,1.27,2.17,5.426,1936,3675,9.84,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Hf_CL,72,4,6,178.49,1.3,2.08,6.825,2506,4876,13.3,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Ta_CL,73,5,6,180.9479,1.5,0,7.89,3290,5731,16.4,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
W_CL,74,6,6,183.84,2.36,1.93,7.98,3695,5828,19.3,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Re_CL,75,7,6,186.207,1.9,1.88,7.88,3459,5869,20.8,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Os_CL,76,8,6,190.2,2.2,1.85,8.7,3306,5285,22.57,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Ir_CL,77,9,6,192.22,2.2,1.8,9.1,2719,4701,22.42,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Pt_CL,78,10,6,195.08,2.28,1.77,9,2041.55,4098,21.46,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Au_CL,79,11,6,196.96657,2.54,1.74,9.226,1337.33,3129,19.282,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Hg_CL,80,12,6,200.59,2,1.71,10.438,234.32,629.88,13.5336,17,35.45,3.16,0.79,12.968,171.65,239.11,0.003214,7.99213,-1.5466,0.5125,4.550002789,6.2249
Sc_SE,21,3,4,44.95591,1.36,1.84,6.561,1814,3109,2.99,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
V_SE,23,5,4,50.9415,1.63,1.71,6.746,2183,3680,6,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Cr_SE,24,6,4,51.996,1.66,1.66,6.767,2180,2944,7.15,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Mn_SE,25,7,4,54.93804,1.55,1.61,7.434,1519,2334,7.3,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Fe_SE,26,8,4,55.84,1.83,1.56,7.902,1811,3134,7.874,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Co_SE,27,9,4,58.93319,1.88,1.52,7.881,1768,3200,8.86,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Ni_SE,28,10,4,58.693,1.91,1.49,7.64,1728,3186,8.912,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Cu_SE,29,11,4,63.55,1.9,1.45,7.726,1357.77,2835,8.933,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Zn_SE,30,12,4,65.4,1.65,1.42,9.394,692.68,1180,7.134,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Y_SE,39,3,5,88.90584,1.22,2.12,6.217,1795,3618,4.47,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Zr_SE,40,4,5,91.22,1.33,2.06,6.634,2128,4682,6.52,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Nb_SE,41,5,5,92.90637,1.6,1.98,6.759,2750,5017,8.57,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Mo_SE,42,6,5,95.95,2.16,1.9,7.092,2896,4912,10.2,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Tc_SE,43,7,5,96.90636,1.9,1.83,7.28,2430,4538,11,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Ru_SE,44,8,5,101.1,2.2,1.78,7.361,2607,4423,12.1,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Rh_SE,45,9,5,102.9055,2.28,1.73,7.459,2237,3968,12.4,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Pd_SE,46,10,5,106.42,2.2,1.69,8.337,1828.05,3236,12,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Ag_SE,47,11,5,107.868,1.93,1.65,7.576,1234.93,2435,10.501,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Cd_SE,48,12,5,112.41,1.69,1.61,8.994,594.22,1040,8.69,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Lu_SE,71,3,6,174.9668,1.27,2.17,5.426,1936,3675,9.84,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Hf_SE,72,4,6,178.49,1.3,2.08,6.825,2506,4876,13.3,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Ta_SE,73,5,6,180.9479,1.5,0,7.89,3290,5731,16.4,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
W_SE,74,6,6,183.84,2.36,1.93,7.98,3695,5828,19.3,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Re_SE,75,7,6,186.207,1.9,1.88,7.88,3459,5869,20.8,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Os_SE,76,8,6,190.2,2.2,1.85,8.7,3306,5285,22.57,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Ir_SE,77,9,6,192.22,2.2,1.8,9.1,2719,4701,22.42,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Pt_SE,78,10,6,195.08,2.28,1.77,9,2041.55,4098,21.46,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Au_SE,79,11,6,196.96657,2.54,1.74,9.226,1337.33,3129,19.282,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Hg_SE,80,12,6,200.59,2,1.71,10.438,234.32,629.88,13.5336,34,78.97,2.55,1.03,9.752,493.65,958,4.809,8.40497,-2.5043,-0.3027,4.236688829,5.2857
Sc_F,21,3,4,44.95591,1.36,1.84,6.561,1814,3109,2.99,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
V_F,23,5,4,50.9415,1.63,1.71,6.746,2183,3680,6,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Cr_F,24,6,4,51.996,1.66,1.66,6.767,2180,2944,7.15,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Mn_F,25,7,4,54.93804,1.55,1.61,7.434,1519,2334,7.3,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Fe_F,26,8,4,55.84,1.83,1.56,7.902,1811,3134,7.874,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Co_F,27,9,4,58.93319,1.88,1.52,7.881,1768,3200,8.86,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Ni_F,28,10,4,58.693,1.91,1.49,7.64,1728,3186,8.912,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Cu_F,29,11,4,63.55,1.9,1.45,7.726,1357.77,2835,8.933,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Zn_F,30,12,4,65.4,1.65,1.42,9.394,692.68,1180,7.134,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Y_F,39,3,5,88.90584,1.22,2.12,6.217,1795,3618,4.47,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Zr_F,40,4,5,91.22,1.33,2.06,6.634,2128,4682,6.52,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Nb_F,41,5,5,92.90637,1.6,1.98,6.759,2750,5017,8.57,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Mo_F,42,6,5,95.95,2.16,1.9,7.092,2896,4912,10.2,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Tc_F,43,7,5,96.90636,1.9,1.83,7.28,2430,4538,11,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Ru_F,44,8,5,101.1,2.2,1.78,7.361,2607,4423,12.1,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Rh_F,45,9,5,102.9055,2.28,1.73,7.459,2237,3968,12.4,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Pd_F,46,10,5,106.42,2.2,1.69,8.337,1828.05,3236,12,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Ag_F,47,11,5,107.868,1.93,1.65,7.576,1234.93,2435,10.501,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Cd_F,48,12,5,112.41,1.69,1.61,8.994,594.22,1040,8.69,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Lu_F,71,3,6,174.9668,1.27,2.17,5.426,1936,3675,9.84,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Hf_F,72,4,6,178.49,1.3,2.08,6.825,2506,4876,13.3,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Ta_F,73,5,6,180.9479,1.5,0,7.89,3290,5731,16.4,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
W_F,74,6,6,183.84,2.36,1.93,7.98,3695,5828,19.3,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Re_F,75,7,6,186.207,1.9,1.88,7.88,3459,5869,20.8,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Os_F,76,8,6,190.2,2.2,1.85,8.7,3306,5285,22.57,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Ir_F,77,9,6,192.22,2.2,1.8,9.1,2719,4701,22.42,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Pt_F,78,10,6,195.08,2.28,1.77,9,2041.55,4098,21.46,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Au_F,79,11,6,196.96657,2.54,1.74,9.226,1337.33,3129,19.282,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
Hg_F,80,12,6,200.59,2,1.71,10.438,234.32,629.88,13.5336,9,18.99840316,3.98,0.42,17.423,53.53,85.03,0.001696,7.21896,-1.3315,-3.2733,5.150960206,4.9822
